Year;Birth;Age;Sex;Reg;RegType;UkrBall100;
2020;1944;76;0;Kyivska  ;1;100;
2018;1954;64;1;Mykolaivska  ;1;165.0;
2018;1958;60;1;Mykolaivska  ;1;100.0;
2019;1958;61;0;Mykolaivska  ;1;137;
2019;1958;61;0;Vinnytska  ;1;143;
2019;1958;61;0;Ternopilska  ;1;185;
2018;1959;59;0;Dnipropetrovska  ;1;197.5;
2018;1959;59;0;Kharkivska  ;1;166.0;
2019;1959;60;0;Kyiv;1;197.5;
2020;1959;61;0;Kyivska  ;1;110;
2019;1959;60;1;Zaporizka  ;1;104;
2019;1960;59;1;Dnipropetrovska  ;1;163;
2020;1960;60;1;Dnipropetrovska  ;1;172;
2020;1960;60;0;Dnipropetrovska  ;1;114;
2019;1960;59;0;Khersonska  ;0;137;
2020;1960;60;1;Kyiv;1;179;
2018;1961;57;0;Cherkaska  ;1;150.0;
2019;1961;58;1;Cherkaska  ;0;117;
2018;1961;57;0;Dnipropetrovska  ;1;145.0;
2020;1961;59;0;Dnipropetrovska  ;1;134;
2018;1961;57;1;Kharkivska  ;1;178.0;
2019;1961;58;1;Kharkivska  ;1;176;
2020;1961;59;1;Kharkivska  ;1;182;
2018;1961;57;0;Kirovohradska  ;1;159.0;
2019;1961;58;0;Mykolaivska  ;1;149;
2020;1961;59;0;Sumska  ;1;116;
2020;1961;59;0;Khmelnytska  ;1;195;
2018;1962;56;0;Kyiv;1;121.0;
2019;1962;57;0;Kyiv;1;124;
2019;1962;57;0;Kyiv;1;138;
2020;1962;58;0;Sumska  ;1;103;
2020;1962;58;1;Zaporizka  ;1;142;
2019;1962;57;1;Ternopilska  ;1;137;
2020;1963;57;1;Cherkaska  ;1;114;
2018;1963;55;0;Dnipropetrovska  ;1;100.0;
2018;1963;55;0;Ivano-Frankivska  ;1;198.0;
2018;1963;55;0;Kirovohradska  ;1;136.0;
2018;1963;55;0;Kirovohradska  ;1;129.0;
2019;1963;56;0;Luhanska  ;1;104;
2020;1963;57;0;Odeska  ;1;152;
2018;1963;55;0;Zaporizka  ;1;112.0;
2018;1963;55;1;Zaporizka  ;1;126.0;
2020;1963;57;1;Zaporizka  ;1;121;
2020;1963;57;0;Lvivska  ;1;113;
2019;1963;56;0;Vinnytska  ;0;106;
2019;1963;56;0;Volynska  ;1;111;
2019;1964;55;0;Dnipropetrovska  ;1;167;
2020;1964;56;0;Dnipropetrovska  ;1;128;
2020;1964;56;0;Dnipropetrovska  ;1;168;
2018;1964;54;0;Donetska  ;0;102.0;
2018;1964;54;0;Donetska  ;1;131.0;
2019;1964;55;0;Kharkivska  ;1;106;
2018;1964;54;1;Kyiv;1;112.0;
2020;1964;56;0;Odeska  ;1;140;
2020;1964;56;0;Odeska  ;1;125;
2018;1964;54;0;Zaporizka  ;1;159.0;
2020;1964;56;0;Zaporizka  ;1;122;
2018;1965;53;0;Dnipropetrovska  ;1;145.0;
2018;1965;53;0;Dnipropetrovska  ;0;107.0;
2018;1965;53;0;Kharkivska  ;1;160.0;
2020;1965;55;1;Kharkivska  ;1;177;
2018;1965;53;0;Kirovohradska  ;1;104.0;
2020;1965;55;1;Kirovohradska  ;0;125;
2018;1965;53;0;Kyiv;1;124.0;
2018;1965;53;0;Kyiv;1;131.0;
2020;1965;55;0;Kyiv;1;142;
2018;1965;53;0;Luhanska  ;1;119.0;
2020;1965;55;0;Mykolaivska  ;1;150;
2018;1965;53;0;Odeska  ;1;196.0;
2019;1965;54;0;Odeska  ;1;196;
2019;1965;54;0;Odeska  ;1;102;
2020;1965;55;0;Sumska  ;1;114;
2018;1965;53;0;Zaporizka  ;1;119.0;
2018;1965;53;1;Zaporizka  ;1;181.0;
2018;1965;53;0;Zhytomyrska  ;1;105.0;
2020;1965;55;1;Vinnytska  ;1;118;
2020;1965;55;0;Rivnenska  ;0;135;
2019;1965;54;1;Lvivska  ;0;187;
2018;1966;52;0;Cherkaska  ;1;143.0;
2019;1966;53;0;Dnipropetrovska  ;1;106;
2020;1966;54;0;Dnipropetrovska  ;1;121;
2020;1966;54;1;Ivano-Frankivska  ;0;169;
2018;1966;52;1;Kharkivska  ;1;132.0;
2020;1966;54;0;Kyiv;1;135;
2020;1966;54;0;Kyiv;1;127;
2020;1966;54;0;Kyivska  ;0;130;
2019;1966;53;0;Luhanska  ;1;109;
2019;1966;53;0;Luhanska  ;1;127;
2020;1966;54;1;Luhanska  ;0;103;
2018;1966;52;0;Odeska  ;1;139.0;
2020;1966;54;0;Odeska  ;1;127;
